X,Y,Z,Activity
-8.590936,1.801055,-4.172124,Sit
-8.576566,1.834585,-4.160149,Sit
-8.56938,1.911226,-4.196074,Sit
-8.617281,1.975891,-4.210444,Sit
-8.648416,1.937571,-4.18889,Sit
-8.54543,1.892066,-4.208049,Sit
-8.432864,1.973496,-4.26553,Sit
-8.428074,2.033372,-4.325406,Sit
-8.461604,2.007026,-4.382886,Sit
-8.459209,1.956731,-4.385281,Sit
-8.413704,1.894461,-4.349356,Sit
-8.356223,1.906436,-4.346961,Sit
-8.447234,1.961521,-4.32301,Sit
-8.655601,1.978286,-4.234395,Sit
-8.715476,1.882485,-4.220025,Sit
-8.657996,1.765129,-4.282295,Sit
-8.57417,1.750759,-4.29427,Sit
-8.471185,1.748364,-4.30864,Sit
-8.406519,1.710044,-4.354146,Sit
-8.432864,1.750759,-4.334986,Sit
-8.459209,1.791475,-4.346961,Sit
-8.437654,1.834585,-4.435576,Sit
-8.298743,1.894461,-4.557723,Sit
-8.210127,1.906436,-4.476292,Sit
-8.272398,1.8753,-4.342171,Sit
-8.305928,1.825005,-4.354146,Sit
-8.351434,1.7795,-4.382886,Sit
-8.382568,1.772315,-4.368516,Sit
-8.447234,1.84656,-4.282295,Sit
-8.466394,1.923201,-4.210444,Sit
-8.509504,1.959126,-4.172124,Sit
-8.514295,1.87051,-4.217629,Sit
-8.665181,1.81303,-4.114644,Sit
-8.737032,1.839375,-3.980523,Sit
-8.765772,1.81303,-3.894302,Sit
-8.765772,1.722019,-3.939807,Sit
-8.799302,1.659749,-4.054768,Sit
-8.756192,1.635798,-4.069139,Sit
-8.787327,1.580713,-4.016448,Sit
-8.911868,1.674119,-3.942202,Sit
-8.844808,1.690884,-3.994893,Sit
-8.787327,1.683699,-4.021238,Sit
-8.765772,1.597478,-4.042793,Sit
-8.823253,1.571133,-4.081113,Sit
-8.729847,1.650169,-4.105063,Sit
-8.62207,1.647774,-4.083508,Sit
-8.617281,1.654959,-4.035608,Sit
-8.54543,1.635798,-4.112249,Sit
-8.48316,1.640588,-4.234395,Sit
-8.57896,1.750759,-4.109854,Sit
-8.693921,1.80345,-3.951782,Sit
-8.634046,1.83219,-4.023633,Sit
-8.473579,1.896856,-4.143384,Sit
-8.377779,1.815425,-4.167334,Sit
-8.528665,1.765129,-4.047583,Sit
-8.734636,1.781895,-3.879932,Sit
-8.816068,1.839375,-3.920647,Sit
-8.796907,1.877695,-3.978128,Sit
-8.734636,1.83698,-3.891907,Sit
-8.729847,1.848955,-3.848797,Sit
-8.705896,1.777105,-3.877537,Sit
